"site","statistic","month","year","data_value","lat","lon","unit"
"Auckland","Average max gust",1,1995,41.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,1996,38.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,1997,44.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,1998,42.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,1999,40.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2000,38.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2001,40.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2002,39.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2003,42.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2004,39,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2005,38.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2006,44.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2007,40.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2008,38.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2009,39.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2010,41.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2011,42.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2012,43.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2013,45.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2014,47.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2015,35.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2016,39.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2017,47.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2018,44,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2019,41.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2020,39.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2021,41.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",1,2022,39,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,1995,41.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,1996,38.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,1997,36.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,1998,39.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,1999,41,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,2000,39.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,2001,39.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,2002,40.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,2003,39.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,2004,55,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,2005,39.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,2006,39.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,2007,37.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,2008,43.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,2009,39.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,2010,38.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,2011,37.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,2012,37.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",2,2013,37.9,-37.00813,174.78873,"km/hr"
