LID,lat,MaxDepth,Catch_area,LakeAreaHa,LakeVolume,LakeElevat,SumWind,MeanWind,CatSlope,CatPhos,CatHard,lambda_dom_std,lambda_dom_median,lambda_dom_hidecile,purity_std,purity_median,chl_median,Name,TotalSUDensity,Prop_Dairy,PastureHeavy,Wetland,Forestry,PastureLight,Exotic,Native,Bare,Urban,Fetch_sqrt
1,-41.3809723667198,7.69577,3435486749.5403,622.384,15965800.0,0.18,6.06,5.90507,9.79,1.77,2.6,6.17586146143698,573.382075738878,580.466662842355,12.6771773852115,35.2122076350279,11.44936675,Lake Onoke,9.58363839727562,0.195365314426864,61.391712969000004,0.941854765,4.520107601,1.04542829,1.6054399149999998,26.842049717000002,0.483936283,0.819461492,60.473134530963414
3,-41.3609989528871,7.64958,3911948.177955,10.8217,275937.0,15.71,8.08,7.84744,11.17,1.05,3.8,30.5847329390098,559.880271164103,572.146550530424,15.9466578141497,13.3696030799015,10.92528,Lake Kohangapiripiri,0.0,0.0,0.0,5.292087275,0.0,28.42183557,48.21448333,17.832303779,0.239290052,0.0,25.495097567963924
4,-41.367965887132,7.63197,20570386.770796,21.3142,542232.0,14.27,8.18,7.99545,13.27,1.15,3.52,23.3802366168142,488.268495686559,523.691016258071,9.67252822494332,18.0117475063073,16.5215771,Lake Kohangatera,19.0687896121914,0.0267335675870568,5.424510875,3.753521982,0.165582429,9.848974998,29.97353474,50.783879325,0.049995652,0.0,30.199337741083
6,-41.2991968286146,21.9937,1825884.0583681,3.07144,225174.0,176.02,7.28,6.99112,12.34,1.0,4.0,,,,,,,Karori Reservoir low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.235384061671343
7,-41.2925974884787,23.8519,2464377.2103272,2.22164,176635.0,156.92,6.87,6.52322,12.25,1.0,4.0,,,,,,,Karori Reservoir upp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
8,-41.3562632650728,0.0,17255226.3046384,1.68928,41031.8,11.3,0.0,7.69933,0.0,0.0,0.0,,,,,,, ,22.5189150791824,0.0267335675870568,6.353884368,1.534457761,0.193951424,8.231826539,24.94255681,58.743323096,0.0,0.0,0.0
47,-41.117154030229,8.98751,1092385.6358551,1.60621,48119.3,29.9,5.3,5.28393,9.42,1.25,3.8,37.1803066118078,523.250638443753,571.21933472749,11.5914707751641,20.9227798348562,15.7871798166667, ,0.0002212011187883,0.0,14.28578281,0.0,5.805110316,5.316202367,35.18659763,3.926230161,0.0,35.48007671,15.165750888103101
70,-41.5666702265079,7.72114,175876.425251,1.11816,28778.3,13.11,5.14,5.275,18.73,2.0,4.0,,,,,,, ,5.20277479484704,0.0332803738731363,91.47765718,0.0,0.0,0.0,0.0,0.0,8.522342815,0.0,13.038404810405298
113,-41.3822080581065,0.0,670056.6209133,4.19078,59586.8,9.72,0.0,6.00253,0.0,0.0,0.0,,,,,,, ,0.0,0.0,88.03337327,5.737754372,2.224597271,0.0,3.430241077,0.0,0.574034011,0.0,0.0
119,-41.3629860215803,8.48124999999999,1027109.82895,41.8774,1183910.0,2.71,6.05,5.87439,0.66,1.39,0.69,6.96685822144,576.047069087945,578.979289138771,14.8415245987939,37.8357450866897,25.0449616666667, ,0.0,0.0,4.956901844,95.04309816,0.0,0.0,0.0,0.0,0.0,0.0,31.606961258558215
