"district","lat","lon","Average_Annual_temp","Average_Autumn_temp","Average_Spring_temp","Average_Summer_temp","Average_Winter_temp","Maximum_Annual_temp","Maximum_Autumn_temp","Maximum_Spring_temp","Maximum_Summer_temp","Maximum_Winter_temp","Minimum_Annual_temp","Minimum_Autumn_temp","Minimum_Spring_temp","Minimum_Summer_temp","Minimum_Winter_temp"
"Auckland (Auckland)",-37.00813,174.78873,15.4874269005848,16.4438596491228,14.5777777777778,19.4779761904762,11.4391812865497,19.033918128655,20.1152046783626,17.9315789473684,23.2113095238095,14.8736842105263,11.9422514619883,12.7730994152047,11.2198830409357,15.7452380952381,8.01286549707602
"Blenheim (Marlborough)",-41.52133,173.86439,12.6429738562092,13.0803921568627,12.3725490196078,17.3826666666667,7.75359477124183,18.5679738562092,19.1313725490196,18.1718954248366,23.604,13.3816993464052,6.71862745098039,7.02614379084967,6.57320261437908,11.1686666666667,2.12483660131373
"Christchurch (Canterbury)",-43.493,172.537,11.6647058823529,12.0833333333333,11.5082125603865,16.5990196078431,6.44541062801932,16.8908212560386,17.2859903381643,16.8966183574879,21.8161764705882,11.5652173913043,6.42928921568627,6.85490196078431,6.12173913043478,11.3867647058824,1.32415458937198
"Dannevirke (Manawatu-Whanganui)",-40.21,176.109,12.1145539906103,12.6648148148148,11.6262910798122,16.4119047619048,7.76197183098592,16.4964788732394,17.1611111111111,15.9197183098592,21.392380952381,11.5262910798122,7.75208333333333,8.18796296296296,7.3537037037037,11.4342723004695,4.02916666666667
"Dunedin (Otago)",-45.90129,170.5147,11.3461711711712,11.8968888888889,11.1706140350877,15.0117117117117,7.30657894736842,15.1016891891892,15.5755555555556,15.1390350877193,18.786036036036,10.934649122807,7.58466666666667,8.1969298245614,7.20833333333333,11.2088888888889,3.6859649122807
"Gisborne (Gisborne)",-38.6586,177.9851,14.2150205761317,14.7421686746988,13.7020325203252,18.5048780487805,9.85783132530121,19.2979423868313,19.8192771084337,18.8719512195122,23.9422764227642,14.5293172690763,9.12743902439024,9.67309236947791,8.52650602409638,13.0780487804878,5.16867469879518
"Gore (Southland)",-46.115,168.887,9.86944444444444,10.202614379085,9.90326797385621,14.0213333333333,5.35359477124183,14.2830065359477,14.602614379085,14.4542483660131,18.9313333333333,9.14444444444444,5.45294117647059,5.80130718954248,5.35228758169935,9.10533333333333,1.55882352940523
"Hamilton (Waikato)",-37.86088,175.33175,13.7519607843137,14.4496732026144,13.1169934640523,18.0893333333333,9.35686274509804,19.0660130718954,20.0307189542484,18.1156862745098,23.86,14.2588235294118,8.44575163398693,8.88104575163399,8.12614379084967,12.328,4.4562091503268
"Hokitika (West Coast)",-42.71228,170.98428,11.8053672316384,12.5734463276836,11.2401129943503,15.3729885057471,8.03728813559322,15.8437853107345,16.6598870056497,15.1225988700565,19.2172413793103,12.3757062146893,7.77245762711864,8.49322033898305,7.36214689265537,11.5350574712644,3.70282485875706
"Invercargill (Southland)",-46.41741,168.33052,9.95753424657534,10.3135135135135,9.94504504504505,13.659009009009,5.88622222222222,14.4876712328767,14.8698198198198,14.5337837837838,18.3292792792793,10.2106666666667,5.42578828828829,5.75810810810811,5.36311111111111,8.98648648648649,1.55911111112
