"site","period_start","period_end","p_value","slope","conf_low","conf_high","conf_level","z","trend_method","n","note","s","var_s","tau","alternative","trend_likelihood","lat","lon"
"Auckland (Auckland)","1972-01-01","2022-12-31",9.034275944524027e-5,0.5063165421897347,0.3868799898080517,0.6132902298850574,0.66,3.915164049432437,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)","1972-01-01","2022-12-31",0.03135020981436978,0.24228243021346477,0.157125870562256,0.3342716396903579,0.66,2.152598966843885,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.52133,173.86439
"Christchurch (Canterbury)","1972-01-01","2022-12-31",0.17748027565409188,0.11675824175824172,0.029684049600815436,0.20998287876967434,0.66,1.348553964704057,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-43.493,172.537
"Dannevirke (Manawatū-Whanganui)","1972-01-01","2022-12-31",0.005600232399722187,0.2604166666666667,0.1989795918367347,0.34397599832302694,0.66,2.770313717913036,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-40.21,176.109
"Dunedin (Otago)","1972-01-01","2022-12-31",0.660769951779913,-0.0017857142857144125,-0.0563922913060844,0.0021551724137931125,0.66,-0.4388503813626145,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-45.90129,170.5147
"Gisborne (Gisborne)","1972-01-01","2022-12-31",0.1437153271409672,0.16632457580733412,0.05867121384362752,0.27906976744186046,0.66,1.4620944582942712,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.6586,177.9851
"Gore (Southland)","1972-01-01","2022-12-31",0.13287593997745736,0.07157067070860176,0.019181034482758718,0.1341924700914849,0.66,1.502856936146464,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-46.115,168.887
"Hamilton (Waikato)","1972-01-01","2022-12-31",0.002197352422096171,0.4916871921182265,0.3485576923076923,0.6100392264185367,0.66,3.0621745974562136,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-37.86088,175.33175
"Hokitika (West Coast)","1972-01-01","2022-12-31",0.7410770452321342,0,0,0,0.66,0.3304273942439779,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-42.71228,170.98428
"Invercargill (Southland)","1972-01-01","2022-12-31",0.0802595837881759,0.06955049261083743,0.02768137035378416,0.10044642857142856,0.66,1.7491818882732497,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-46.41741,168.33052
"Kerikeri (Northland)","1972-01-01","2022-12-31",0.027712171358348362,0.3767788724685276,0.23420329670329648,0.5287698412698413,0.66,2.2013370566592183,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)","1972-01-01","2022-12-31",0.01890512764728259,0.21924603174603183,0.1221704198920949,0.30534627644161105,0.66,2.3473964420818185,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.002,170.441
"Masterton (Wellington)","1972-01-01","2022-12-31",0.001535594690051268,0.5613839285714284,0.38650109469074984,0.7017857142857139,0.66,3.167871326304254,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-40.957,175.707
"Milford Sound (Southland)","1972-01-01","2022-12-31",0.331395316407728,-0.0023510971786833853,-0.045454545454545456,0,0.66,-0.9713072161754679,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.67384,167.92406
