"LID","Type","State","PredictedValue","LowerCI","UpperCI"
"1","Total Nitrogen","Current",523.553985262395,340.826752828387,792.575033356656
"1","Total Nitrogen","Reference",483.159529374514,244.762013888157,1041.81136292367
"1","Total Phosphorus","Current",48.4946690140089,18.431419893781,103.851595357302
"1","Total Phosphorus","Reference",10.0723903800439,2.93370369829163,33.5153820677333
"3","Total Nitrogen","Current",614.151589890279,418.140556005782,878.854891057865
"3","Total Nitrogen","Reference",326.40323692619,165.105834012316,638.472639608585
"3","Total Phosphorus","Current",36.0066888622189,18.7337691467363,69.2946943812912
"3","Total Phosphorus","Reference",12.3199033859207,5.61160342248646,30.000832254432
"4","Total Nitrogen","Current",590.361811148243,406.545688488889,880.027046984802
"4","Total Nitrogen","Reference",324.257316800056,176.34971936874,637.568287182591
"4","Total Phosphorus","Current",35.9316328878715,17.0698738133144,72.8137097758904
"4","Total Phosphorus","Reference",13.2685122253224,5.34729082547124,33.3222420607717
"229","Total Nitrogen","Current",214.128009173011,139.721404993041,304.770605935056
"229","Total Nitrogen","Reference",182.052888921188,93.0712278916861,347.776229997576
"229","Total Phosphorus","Current",8.67491225089809,5.49578439073309,14.1266548461001
"229","Total Phosphorus","Reference",10.114809116954,6.10593576568174,17.4778635644487
"381","Total Nitrogen","Current",760.654252682569,535.718978562742,1125.85552323103
"381","Total Nitrogen","Reference",463.906218589694,234.651391688049,947.973879858266
"381","Total Phosphorus","Current",20.9299431076112,12.2812106515859,36.7830671471866
"381","Total Phosphorus","Reference",8.46701995047503,3.10214832815593,23.6993749101957
"476","Total Nitrogen","Current",165.120508563443,103.727656648228,247.105740199168
"476","Total Nitrogen","Reference",131.707336402202,67.3670217884545,251.006906751085
"476","Total Phosphorus","Current",15.0295452729886,8.44307425246089,27.7422530292249
"476","Total Phosphorus","Reference",5.29692571244799,3.79585563770451,7.73101905060003
"511","Total Nitrogen","Current",2476.50331888383,1606.97433420972,4045.48016544996
"511","Total Nitrogen","Reference",625.955033557494,317.003157694717,1347.48511309905
"511","Total Phosphorus","Current",97.8786006547012,50.7606846442403,190.649631990871
"511","Total Phosphorus","Reference",26.0620465548134,4.10019035622123,157.644301566542
"515","Total Nitrogen","Current",1024.96357265472,701.253714519057,1537.4359575391
"515","Total Nitrogen","Reference",607.760937535996,299.298275518384,1392.06878877246
"515","Total Phosphorus","Current",55.6596070975802,29.8037937374358,109.452600513853
"515","Total Phosphorus","Reference",27.9726229957615,3.98695675688071,269.038901460988
"667","Total Nitrogen","Current",2357.35041901766,1567.53340817802,3833.04331569515
"667","Total Nitrogen","Reference",619.189967943595,303.962577804683,1294.30626568256
"667","Total Phosphorus","Current",104.646595914049,53.7424905994487,202.72281763287
"667","Total Phosphorus","Reference",24.1666765487978,4.78001959099493,134.072215350372
"831","Total Nitrogen","Current",914.278478012058,627.959244762435,1399.47832847658
"831","Total Nitrogen","Reference",419.413685937883,226.907814274072,913.202053163203
"831","Total Phosphorus","Current",34.7037300993758,21.2352175222768,60.190366303486
"831","Total Phosphorus","Reference",10.8945165955813,4.98717949485624,25.0934404945841
"841","Total Nitrogen","Current",1121.99532707146,736.105185699347,1678.48412523258
"841","Total Nitrogen","Reference",634.433789748998,309.848782038081,1400.49122024069
"841","Total Phosphorus","Current",38.3823358799964,19.477456141906,71.0704245771082
"841","Total Phosphorus","Reference",25.9644656735886,5.71823723282061,107.300908710592
"869","Total Nitrogen","Current",2644.88128999598,1703.06944553256,4346.19504345357
"869","Total Nitrogen","Reference",635.015287578069,306.826611494051,1391.69319601159
"869","Total Phosphorus","Current",356.814097919298,176.939239177904,745.380075194086
"869","Total Phosphorus","Reference",26.4905325551257,4.43003114597471,182.280692938009
"1553","Total Nitrogen","Current",284.282770075393,163.165356749608,462.155857814911
"1553","Total Nitrogen","Reference",249.731917680448,113.290161926699,518.912184239223
"1553","Total Phosphorus","Current",47.8210131274265,25.3633580599404,97.6503831212279
"1553","Total Phosphorus","Reference",14.8692356710833,9.51358468338331,24.1578952563133
"1708","Total Nitrogen","Current",827.147289478863,513.171159210298,1225.26868818922
"1708","Total Nitrogen","Reference",474.512263340498,216.945096186311,1056.38203117559
"1708","Total Phosphorus","Current",43.9125153407434,23.1325362047309,83.0848371268082
"1708","Total Phosphorus","Reference",21.1772793416259,10.2323962364291,45.5543541656192
"1962","Total Nitrogen","Current",2306.68149531085,1547.24357659872,3580.23100819239
"1962","Total Nitrogen","Reference",641.008742749019,311.184071256104,1382.06873081507
"1962","Total Phosphorus","Current",136.944539505637,72.3033398126386,258.479179487981
"1962","Total Phosphorus","Reference",25.7568208973631,6.79592736869025,101.931233747183
"1972","Total Nitrogen","Current",1302.13398590375,842.392120852338,2032.22631262606
"1972","Total Nitrogen","Reference",486.11529967921,257.092585735413,1025.45767711526
"1972","Total Phosphorus","Current",27.2248731455449,16.3075205250382,48.4339595796914
"1972","Total Phosphorus","Reference",8.27425358699482,3.50574309399563,20.2924267400901
"1974","Total Nitrogen","Current",1161.92138292549,805.670832269174,1729.83088107174
"1974","Total Nitrogen","Reference",483.251076354976,245.530485751665,1032.52390136859
"1974","Total Phosphorus","Current",109.202520269868,54.9921010787672,224.568964675773
"1974","Total Phosphorus","Reference",45.897193160984,13.7053472799689,195.186108075991
"1993","Total Nitrogen","Current",343.586403692863,234.809133169982,505.995616410223
"1993","Total Nitrogen","Reference",173.903124845838,91.5477722050389,324.894574035686
"1993","Total Phosphorus","Current",39.9417654263596,19.8836268467239,80.3726399311062
"1993","Total Phosphorus","Reference",5.89039265722168,3.58429630823072,9.58573277115624
"2549","Total Nitrogen","Current",407.472951228706,278.799134038143,585.509356320233
"2549","Total Nitrogen","Reference",172.083078534793,93.0401440558233,331.016915250835
"2549","Total Phosphorus","Current",21.5029638745179,11.6352787798131,41.3606160615208
"2549","Total Phosphorus","Reference",6.07344799451682,2.60266571795318,15.6875732166779
"3129","Total Nitrogen","Current",484.21934647612,325.847303529266,675.729454667465
"3129","Total Nitrogen","Reference",388.140325404797,203.73532684051,772.345278894783
"3129","Total Phosphorus","Current",10.263727212286,6.08822437361004,17.6604196715815
"3129","Total Phosphorus","Reference",7.16732131750238,2.7595089100729,19.1893721592686
