lake_id,lake_name,district
LID 1,Onoke,Wellington (Wellington)
LID 3,Kohangapiripiri,Wellington (Wellington)
LID 4,Kohangatera,Wellington (Wellington)
LID 6,Karori Reservoir Lower,Wellington (Wellington)
LID 7,Karori Reservoir Upper,Wellington (Wellington)
LID 8,NA,Wellington (Wellington)
LID 47,Whitby Lake,Wellington (Wellington)
LID 70,NA,Wellington (Wellington)
LID 113,NA,Wellington (Wellington)
LID 119,NA,Wellington (Wellington)
LID 195,Nganoke,Wellington (Wellington)
LID 229,Pounui,Wellington (Wellington)
LID 298,NA,Masterton (Wellington)
LID 299,NA,Masterton (Wellington)
LID 300,NA,Masterton (Wellington)
LID 301,NA,Masterton (Wellington)
LID 325,Horseshoe Lagoon,Masterton (Wellington)
LID 332,NA,Masterton (Wellington)
LID 337,NA,Masterton (Wellington)
LID 338,NA,Masterton (Wellington)
LID 345,NA,Masterton (Wellington)
LID 349,NA,Masterton (Wellington)
LID 352,NA,Masterton (Wellington)
LID 380,Lake of Remembrance,Masterton (Wellington)
LID 381,Henley Lake,Masterton (Wellington)
LID 402,NA,Masterton (Wellington)
LID 465,NA,Masterton (Wellington)
LID 468,NA,Masterton (Wellington)
LID 476,Tokomaru No 3 Reservoir,Masterton (Wellington)
LID 477,NA,Masterton (Wellington)
LID 484,NA,Masterton (Wellington)
LID 491,NA,Masterton (Wellington)
LID 501,NA,Wellington (Wellington)
LID 505,NA,Wellington (Wellington)
LID 506,NA,Wellington (Wellington)
LID 507,NA,Wellington (Wellington)
LID 508,NA,Wellington (Wellington)
LID 509,NA,Wellington (Wellington)
LID 511,NA,Wellington (Wellington)
LID 512,NA,Wellington (Wellington)
LID 515,Boggy Pond Lagoon,Wellington (Wellington)
LID 524,NA,Masterton (Wellington)
LID 583,NA,Masterton (Wellington)
LID 656,NA,Wellington (Wellington)
LID 664,NA,Wellington (Wellington)
LID 667,NA,Wellington (Wellington)
LID 671,NA,Masterton (Wellington)
LID 672,NA,Masterton (Wellington)
LID 690,NA,Masterton (Wellington)
LID 791,NA,Masterton (Wellington)
LID 831,Waitawa,Masterton (Wellington)
LID 841,Waiorongomai,Masterton (Wellington)
LID 843,Huritini,Masterton (Wellington)
LID 847,Kopureherehere,Masterton (Wellington)
LID 855,NA,Masterton (Wellington)
LID 856,NA,Masterton (Wellington)
LID 869,NA,Whanganui (Manawatu-Whanganui)
LID 870,NA,Whanganui (Manawatu-Whanganui)
LID 871,NA,Whanganui (Manawatu-Whanganui)
LID 877,NA,Masterton (Wellington)
LID 885,NA,Masterton (Wellington)
LID 886,NA,Masterton (Wellington)
LID 1416,NA,Masterton (Wellington)
LID 1420,NA,Masterton (Wellington)
LID 1491,Pinders Pond,Gore (Southland)
LID 1492,NA,Gore (Southland)
LID 1509,NA,Gore (Southland)
LID 1548,NA,Gore (Southland)
LID 1553,Lake Onslow,Dunedin (Otago)
LID 1566,NA,Dunedin (Otago)
LID 1682,NA,Masterton (Wellington)
LID 1708,Wairarapa,Wellington (Wellington)
LID 1717,NA,Wellington (Wellington)
LID 1720,NA,Wellington (Wellington)
LID 1721,NA,Masterton (Wellington)
LID 1726,NA,Masterton (Wellington)
LID 1729,NA,Masterton (Wellington)
LID 1730,NA,Masterton (Wellington)
LID 1731,NA,Masterton (Wellington)
LID 1735,NA,Masterton (Wellington)
LID 1738,NA,Masterton (Wellington)
LID 1739,NA,Masterton (Wellington)
LID 1742,NA,Masterton (Wellington)
LID 1744,NA,Masterton (Wellington)
LID 1814,NA,Masterton (Wellington)
LID 1868,NA,Masterton (Wellington)
LID 1957,NA,Masterton (Wellington)
LID 1962,NA,Masterton (Wellington)
LID 1972,NA,Masterton (Wellington)
LID 1974,Papaitonga,Masterton (Wellington)
LID 1978,NA,Masterton (Wellington)
LID 1992,NA,Masterton (Wellington)
LID 1993,NA,Masterton (Wellington)
LID 2069,NA,Masterton (Wellington)
LID 2073,NA,Masterton (Wellington)
LID 2078,NA,Masterton (Wellington)
LID 2106,NA,Masterton (Wellington)
LID 2137,NA,Masterton (Wellington)
