"LID","Date","Name","obs","interp","hants"
1,2000-01-01,"Lake Onoke",19.4228168142285,19.4228168142285,20.7258650830368
4,2000-01-01,"Lake Kohangatera",16.6368370533002,16.6368370533002,18.8193300693147
119,2000-01-01,"0",19.4398836604147,19.4398836604147,19.3162596411104
229,2000-01-01,"Lake Pounui",20.7999875357277,20.7999875357277,21.4353607423657
511,2000-01-01,"Matthews Lagoon",24.8719817972958,24.8719817972958,22.8487286025171
1708,2000-01-01,"Lake Wairarapa",17.5017047303292,17.5017047303292,19.8256539144746
1974,2000-01-01,"Lake Papaitonga",19.023901825037,19.023901825037,19.8230747146091
4345,2000-01-01,"Lake Horowhenua",23.6081728984697,23.6081728984697,23.5117023200827
5042,2000-01-01,"Pukepuke Lagoon",20.7670888035844,20.7670888035844,19.0428691371681
7506,2000-01-01,"Lake Rotorangi",20.6806168279648,20.6806168279648,20.3234846854116
11709,2000-01-01,"0",16.5173875886109,16.5173875886109,17.1190513898309
12872,2000-01-01,"Lake Rotoroa",23.3922688021714,23.3922688021714,21.5226797729317
12873,2000-01-01,"Lake Numiti",22.8998195795916,22.8998195795916,21.0768930851274
12876,2000-01-01,"Lake Taharoa",21.4770718174116,21.4770718174116,17.5708926477299
13148,2000-01-01,"Lake Kuratau",18.3872893580023,18.3872893580023,19.2558710487602
13446,2000-01-01,"Lake Heaton",24.9164890953357,24.9164890953357,24.8415092035356
13456,2000-01-01,"Lake Alice",24.4338391487409,24.4338391487409,23.9939400275713
13876,2000-01-01,"Lake Maraetai",20.1815449363992,20.1815449363992,21.5877075060998
14546,2000-01-01,"Lake Arapuni",20.043742974921,20.043742974921,18.2149560475577
15033,2000-01-01,"Lake Hotoananga",22.6661569754065,22.6661569754065,21.4492010255755
18610,2000-01-01,"Lake Moawhango",15.7322849632881,15.7322849632881,13.8904515740355
18933,2000-01-01,"Lake Pauri",22.6851431877861,22.6851431877861,21.0358855878148
18936,2000-01-01,"Kaitoke Lake",22.1272884843426,22.1272884843426,20.6017179636292
21367,2000-01-01,"Lake Rotoaira",17.2483396237056,17.2483396237056,18.3020602648081
21370,2000-01-01,"Lake Rotopounamu",18.1829179799215,18.1829179799215,19.1838832673098
21383,2000-01-01,"Lake Otamangakau",13.297398617941,13.297398617941,14.1191401961234
21912,2000-01-01,"Shag Lake",20.2642024041187,20.2642024041187,19.3653287787283
21917,2000-01-01,"Lake Taharoa",20.383538211185,20.383538211185,20.3115197999364
23721,2000-01-01,"Lake Omapere",20.7845852700807,20.7845852700807,20.2856744086582
24271,2000-01-01,"Lake Waingaro",22.1582198800212,22.1582198800212,21.6247416035365
24304,2000-01-01,"Lake Manuwai",22.0235670485267,22.0235670485267,22.2417582325952
24969,2000-01-01,"Cobb Reservoir",17.1418522930212,17.1418522930212,17.0145473834778
25002,2000-01-01,"Lake Stanley",16.1704248335337,16.1704248335337,15.8916269016048
25044,2000-01-01,"Lake Chalice",16.9337758264119,16.9337758264119,16.4343566941345
25212,2000-01-01,"Lake Guyon",17.172868692333,17.172868692333,18.9969276789675
25994,2000-01-01,"Lake Rotorua",15.4885183133028,15.4885183133028,19.1578281722391
26477,2000-01-01,"Lake Tennyson",14.7113043292174,14.7113043292174,14.5976716101625
26514,2000-01-01,"Lake Constance",13.1045559756641,13.1045559756641,13.4515522562548
27286,2000-01-01,"Lake Mcrae",17.707865227627,17.707865227627,17.3741205189975
27558,2000-01-01,"Island Lake",17.9139324127141,17.9139324127141,19.1109996639622
27566,2000-01-01,"Bowscale Tarn",19.0191524339086,19.0191524339086,19.9236604629747
27762,2000-01-01,"Lake Rotoiti",17.3018933635556,17.3018933635556,17.3099310818787
27936,2000-01-01,"Lake Elterwater",16.73729957147,16.73729957147,18.4820349498891
28066,2000-01-01,"Lake Grassmere",14.8131966308838,14.8131966308838,16.3807513549997
28162,2000-01-01,"Argyle Pond",16.7323951038016,16.7323951038016,18.2738752291309
33309,2000-01-01,"Long Range Lake",25.4672255738391,25.4672255738391,22.3043054088539
35422,2000-01-01,"Horseshoe Lake",24.7496364245501,24.7496364245501,24.3958857129428
36960,2000-01-01,"0",21.8622740770519,21.8622740770519,18.7478510506743
38421,2000-01-01,"Lake Mahinapua",23.473531218428,23.473531218428,21.093336749867
38502,2000-01-01,"Lake Kaniere",21.0594996320116,21.0594996320116,17.0663340504239
38638,2000-01-01,"Kapitia Reservoir",22.3742591872116,22.3742591872116,19.521416220971
38664,2000-01-01,"Kangaroo Lake",22.6427339482322,22.6427339482322,20.3340050978238
