"date","LID","Name","LST","year"
2001-08-15,"45153","Lake Mahinerangi",4.15054486458934,2001
2021-08-20,"54672","Lake Wanaka",8.92786606439506,2021
2021-08-20,"52410","0",1.10685644275048,2021
2021-08-20,"53519","0",4.13827213220407,2021
2011-07-17,"41354","Lake Roundabout",0.0125422067827117,2011
2001-08-15,"44599","Lake Tuakitoto",3.55134758106152,2001
2001-07-05,"45525","Lake Ruataniwha",6.44641464345318,2001
2001-08-15,"44391","Lake Waihola",5.24352624434312,2001
2023-09-25,"11709","0",8.07886647085087,2023
2021-08-20,"54190","Lake Hayes",5.87317845142769,2021
2011-04-28,"48451","Lake Coleridge",11.1446528947259,2011
2001-08-15,"44694","Lake Waipori",3.30554532437031,2001
2001-08-15,"44746","Tomahawk Lagoon",4.0306557186521,2001
2021-05-25,"38521","Okuku Reservoir",4.76744727073077,2021
2011-04-28,"47198","Lake Mcgregor",10.0145689687301,2011
2012-07-03,"44391","Lake Waihola",2.72415149691454,2012
2021-08-20,"29688","0",1.83896055828791,2021
2020-07-16,"28867","Lake Carrick",5.39941675053552,2020
2021-08-20,"52566","Lake Te Anau",7.84743969004148,2021
2017-08-04,"21383","Lake Otamangakau",6.10554833077526,2017
2008-05-05,"41306","Lake Camp",7.28656214428742,2008
2019-04-18,"7408","Lake Aviemore",10.0884143748592,2019
2011-04-28,"44391","Lake Waihola",8.91286559591811,2011
2021-05-25,"39191","Lake Morgan",5.3970034670603,2021
2017-08-02,"11911","0",3.54453578961818,2017
2011-04-28,"11911","0",8.34543997986748,2011
2017-08-04,"13970","Lake Ohakuri",9.48501852932617,2017
2021-08-20,"29956","Shallow Lake",1.07743177607966,2021
2008-05-05,"38502","Lake Kaniere",12.4576368052716,2008
2021-08-20,"28532","Lake Innes",6.5002160360167,2021
2011-04-28,"48455","Lake Ida",8.63756536996715,2011
2007-12-06,"39050","Lake Kaurapataka",16.4565061652314,2007
2002-09-14,"35662","Lake Poukawa",9.88472176053648,2002
2021-05-25,"46954","Alpine Lake/Ata Puai",10.0899954375406,2021
2017-08-04,"13857","Lake Waipapa",8.88418176651146,2017
2019-09-25,"54737","Lake Dunstan",8.6981774510179,2019
2002-09-14,"36096","Oingo Lake",12.306593646571,2002
2021-08-20,"53392","Lake Ned",0.497706965504619,2021
2008-05-05,"47491","Lake Ianthe / Matahi",12.1285898126535,2008
2014-07-02,"39191","Lake Morgan",0.109756692096198,2014
2023-12-10,"48673","Lake Sarah",14.5275620705118,2023
2021-08-20,"53532","Lake Wakatipu",8.79916094848966,2021
2014-05-31,"48451","Lake Coleridge",10.0174555410401,2014
2021-08-20,"52884","Lake Grave",6.59302672779597,2021
2012-07-03,"44747","Tomahawk Lagoon",3.57341133111839,2012
2008-05-05,"46964","Lake Wahapo",10.3756728798554,2008
2023-09-25,"7415","0",5.84308031757939,2023
2001-07-05,"11614","Falls Dam",0.281399590599335,2001
2017-08-04,"54734","Lake Taupo                    (Taupomoana)",10.0145689687301,2017
2014-07-16,"54000","Lake Marian",3.34654246705617,2014
2021-08-20,"45514","Lake Ohau",7.09372804129464,2021
2008-05-05,"41354","Lake Roundabout",2.06670344539162,2008
2011-04-28,"41299","Lake Emma",7.36783435049591,2011
2013-06-04,"7901","Fraser Dam",2.08617916209255,2013
2012-07-03,"44405","0",0.785767507084302,2012
2023-12-10,"48657","Lake Marymere",14.4176560054299,2023
2008-08-20,"13446","Lake Heaton",7.87714390703348,2008
2001-08-15,"11911","0",3.90201268380866,2001
2017-08-02,"44391","Lake Waihola",3.01815180762213,2017
2007-12-06,"38664","Kangaroo Lake",19.0118494849106,2007
2009-09-04,"52652","0",5.52477099740656,2009
2014-07-16,"52927","Lake Sumor",2.75910714051486,2014
2006-06-24,"52235","Myth Tarn",1.61669902094633,2006
2013-05-28,"38974","Lake Brunner / Moana",11.3696651332007,2013
2019-04-18,"41299","Lake Emma",11.0300351618773,2019
2021-09-14,"45503","Wairepo Arm",7.27110470019085,2021
2007-07-15,"44694","Lake Waipori",2.49330597134343,2007
2023-09-25,"12406","0",8.25709117458518,2023
2001-07-05,"39225","Lake Haupiri",4.3431124255236,2001
2021-08-20,"54737","Lake Dunstan",6.67382741564177,2021
2008-05-05,"38421","Lake Mahinapua",9.80206886350811,2008
2021-08-20,"52475","Lake Orbell",1.4127686335803,2021
2007-12-06,"48673","Lake Sarah",16.7251256270411,2007
2020-07-16,"52241","0",3.4948553037828,2020
2019-04-18,"47860","Lake Emily",10.2810230513683,2019
2012-07-03,"54742","Waituna Lagoon",1.90870638633436,2012
