"site","n_days","period_start","period_end","lat","lon"
"Auckland (Auckland)",76.2,"2022-01-01","2022-12-31",-37.00813,174.78873
"Blenheim (Marlborough)",31,"2022-01-01","2022-12-31",-41.52133,173.86439
"Christchurch (Canterbury)",21,"2022-01-01","2022-12-31",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",31.1,"2022-01-01","2022-12-31",-40.21,176.109
"Dunedin (Otago)",4,"2022-01-01","2022-12-31",-45.90129,170.5147
"Gisborne (Gisborne)",37.1,"2022-01-01","2022-12-31",-38.6586,177.9851
"Gore (Southland)",17,"2022-01-01","2022-12-31",-46.115,168.887
"Hamilton (Waikato)",78.2,"2022-01-01","2022-12-31",-37.86088,175.33175
"Hokitika (West Coast)",6,"2022-01-01","2022-12-31",-42.71228,170.98428
"Invercargill (Southland)",13,"2022-01-01","2022-12-31",-46.41741,168.33052
"Kerikeri (Northland)",52.1,"2022-01-01","2022-12-31",-35.183,173.926
"Lake Tekapo (Canterbury)",20,"2022-01-01","2022-12-31",-44.002,170.441
"Masterton (Wellington)",37.1,"2022-01-01","2022-12-31",-40.957,175.707
"Milford Sound (Southland)",2,"2022-01-01","2022-12-31",-44.67384,167.92406
"Napier (Hawke's Bay)",38.1,"2022-01-01","2022-12-31",-39.49846,176.91189
"Nelson (Nelson)",10,"2022-01-01","2022-12-31",-41.299,173.226
"New Plymouth (Taranaki)",18.1,"2022-01-01","2022-12-31",-39.0079,174.18382
"Queenstown (Otago)",28.1,"2022-01-01","2022-12-31",-45.01758,168.74005
"Reefton (West Coast)",50,"2022-01-01","2022-12-31",-42.11578,171.86014
"Rotorua (Bay of Plenty)",23,"2022-01-01","2022-12-31",-38.10595,176.31485
"Tara Hills (Canterbury)",30,"2022-01-01","2022-12-31",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",78.2,"2022-01-01","2022-12-31",-38.88784,175.25981
"Taupō (Waikato)",30.1,"2022-01-01","2022-12-31",-38.74263,176.08104
"Tauranga (Bay of Plenty)",38.1,"2022-01-01","2022-12-31",-37.673,176.196
"Timaru (Canterbury)",7,"2022-01-01","2022-12-31",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",17.1,"2022-01-01","2022-12-31",-39.46249,175.66283
"Wellington (Wellington)",8,"2022-01-01","2022-12-31",-41.285,174.768
"Whanganui (Manawatū-Whanganui)",37.1,"2022-01-01","2022-12-31",-39.93704,175.04509
"Whangaparāoa (Auckland)",53.2,"2022-01-01","2022-12-31",-36.606,174.835
"Whangārei (Northland)",55.2,"2022-01-01","2022-12-31",-35.769,174.364
"Auckland (Auckland)",42.1,"2021-01-01","2021-12-31",-37.00813,174.78873
"Blenheim (Marlborough)",55.1,"2021-01-01","2021-12-31",-41.52133,173.86439
"Christchurch (Canterbury)",36.1,"2021-01-01","2021-12-31",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",31.2,"2021-01-01","2021-12-31",-40.21,176.109
"Dunedin (Otago)",8,"2021-01-01","2021-12-31",-45.90129,170.5147
"Gisborne (Gisborne)",61.1,"2021-01-01","2021-12-31",-38.6586,177.9851
"Gore (Southland)",10,"2021-01-01","2021-12-31",-46.115,168.887
"Hamilton (Waikato)",50.2,"2021-01-01","2021-12-31",-37.86088,175.33175
"Hokitika (West Coast)",0,"2021-01-01","2021-12-31",-42.71228,170.98428
"Invercargill (Southland)",7,"2021-01-01","2021-12-31",-46.41741,168.33052
"Kerikeri (Northland)",39,"2021-01-01","2021-12-31",-35.183,173.926
"Lake Tekapo (Canterbury)",18.1,"2021-01-01","2021-12-31",-44.002,170.441
"Masterton (Wellington)",53.1,"2021-01-01","2021-12-31",-40.957,175.707
"Milford Sound (Southland)",1,"2021-01-01","2021-12-31",-44.67384,167.92406
"Napier (Hawke's Bay)",60.1,"2021-01-01","2021-12-31",-39.49846,176.91189
"Nelson (Nelson)",7,"2021-01-01","2021-12-31",-41.299,173.226
"New Plymouth (Taranaki)",2,"2021-01-01","2021-12-31",-39.0079,174.18382
"Queenstown (Otago)",16.1,"2021-01-01","2021-12-31",-45.01758,168.74005
"Reefton (West Coast)",32.1,"2021-01-01","2021-12-31",-42.11578,171.86014
"Rotorua (Bay of Plenty)",23,"2021-01-01","2021-12-31",-38.10595,176.31485
"Tara Hills (Canterbury)",29.1,"2021-01-01","2021-12-31",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",66.2,"2021-01-01","2021-12-31",-38.88784,175.25981
"Taupō (Waikato)",21.1,"2021-01-01","2021-12-31",-38.74263,176.08104
"Tauranga (Bay of Plenty)",38.1,"2021-01-01","2021-12-31",-37.673,176.196
"Timaru (Canterbury)",19,"2021-01-01","2021-12-31",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",5,"2021-01-01","2021-12-31",-39.46249,175.66283
"Wellington (Wellington)",1,"2021-01-01","2021-12-31",-41.285,174.768
"Whanganui (Manawatū-Whanganui)",27.1,"2021-01-01","2021-12-31",-39.93704,175.04509
"Whangaparāoa (Auckland)",32.1,"2021-01-01","2021-12-31",-36.606,174.835
"Whangārei (Northland)",56.1,"2021-01-01","2021-12-31",-35.769,174.364
"Auckland (Auckland)",36.5,"2020-01-01","2020-12-31",-37.00813,174.78873
"Blenheim (Marlborough)",56.5,"2020-01-01","2020-12-31",-41.52133,173.86439
"Christchurch (Canterbury)",40.7,"2020-01-01","2020-12-31",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",30.6,"2020-01-01","2020-12-31",-40.21,176.109
"Dunedin (Otago)",6.9,"2020-01-01","2020-12-31",-45.90129,170.5147
"Gisborne (Gisborne)",63.5,"2020-01-01","2020-12-31",-38.6586,177.9851
"Gore (Southland)",8.9,"2020-01-01","2020-12-31",-46.115,168.887
"Hamilton (Waikato)",55.4,"2020-01-01","2020-12-31",-37.86088,175.33175
"Hokitika (West Coast)",0,"2020-01-01","2020-12-31",-42.71228,170.98428
"Invercargill (Southland)",5.9,"2020-01-01","2020-12-31",-46.41741,168.33052
"Kerikeri (Northland)",64.3,"2020-01-01","2020-12-31",-35.183,173.926
"Lake Tekapo (Canterbury)",32.7,"2020-01-01","2020-12-31",-44.002,170.441
"Masterton (Wellington)",47.5,"2020-01-01","2020-12-31",-40.957,175.707
"Milford Sound (Southland)",0,"2020-01-01","2020-12-31",-44.67384,167.92406
"Napier (Hawke's Bay)",58.5,"2020-01-01","2020-12-31",-39.49846,176.91189
"Nelson (Nelson)",10.8,"2020-01-01","2020-12-31",-41.299,173.226
"New Plymouth (Taranaki)",4.9,"2020-01-01","2020-12-31",-39.0079,174.18382
"Queenstown (Otago)",21.8,"2020-01-01","2020-12-31",-45.01758,168.74005
"Reefton (West Coast)",28.8,"2020-01-01","2020-12-31",-42.11578,171.86014
"Rotorua (Bay of Plenty)",30.5,"2020-01-01","2020-12-31",-38.10595,176.31485
"Tara Hills (Canterbury)",42.6,"2020-01-01","2020-12-31",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",57.4,"2020-01-01","2020-12-31",-38.88784,175.25981
"Taupō (Waikato)",31.6,"2020-01-01","2020-12-31",-38.74263,176.08104
"Tauranga (Bay of Plenty)",51.4,"2020-01-01","2020-12-31",-37.673,176.196
"Timaru (Canterbury)",23.8,"2020-01-01","2020-12-31",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",8.8,"2020-01-01","2020-12-31",-39.46249,175.66283
"Wellington (Wellington)",0,"2020-01-01","2020-12-31",-41.285,174.768
"Whanganui (Manawatū-Whanganui)",17.7,"2020-01-01","2020-12-31",-39.93704,175.04509
"Whangaparāoa (Auckland)",46.4,"2020-01-01","2020-12-31",-36.606,174.835
"Whangārei (Northland)",61.4,"2020-01-01","2020-12-31",-35.769,174.364
"Auckland (Auckland)",45.1,"2019-01-01","2019-12-31",-37.00813,174.78873
"Blenheim (Marlborough)",60.2,"2019-01-01","2019-12-31",-41.52133,173.86439
"Christchurch (Canterbury)",54.1,"2019-01-01","2019-12-31",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",26.1,"2019-01-01","2019-12-31",-40.21,176.109
"Dunedin (Otago)",19,"2019-01-01","2019-12-31",-45.90129,170.5147
"Gisborne (Gisborne)",71.1,"2019-01-01","2019-12-31",-38.6586,177.9851
"Gore (Southland)",18,"2019-01-01","2019-12-31",-46.115,168.887
"Hamilton (Waikato)",78.2,"2019-01-01","2019-12-31",-37.86088,175.33175
"Hokitika (West Coast)",1,"2019-01-01","2019-12-31",-42.71228,170.98428
"Invercargill (Southland)",15,"2019-01-01","2019-12-31",-46.41741,168.33052
"Kerikeri (Northland)",67.1,"2019-01-01","2019-12-31",-35.183,173.926
"Lake Tekapo (Canterbury)",37.1,"2019-01-01","2019-12-31",-44.002,170.441
"Masterton (Wellington)",67.1,"2019-01-01","2019-12-31",-40.957,175.707
"Milford Sound (Southland)",2,"2019-01-01","2019-12-31",-44.67384,167.92406
"Napier (Hawke's Bay)",62.1,"2019-01-01","2019-12-31",-39.49846,176.91189
