"citation","n_reviewers","all_reviewers"
"Czernecki, B., & Ptak, M. (2018). The impact of global warming on lake surface water temperature in Poland-the application of empirical-statistical downscaling, 1971-2100. Journal of Limnology, 77(2).",3,"MA, OR, MP"
"Dokulil, M. T., de Eyto, E., Maberly, S. C., May, L., Weyhenmeyer, G. A., & Woolway, R. I. (2021). Increasing maximum lake surface temperature under climate change. Climatic Change , 165 (3), 56. https://doi.org/10.1007/s10584-021-03085-1",3,"WW, OR, MP"
"Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.",3,"WW, MS, MP"
"Li, Y., Shi, K., Zhang, Y., Zhu, G., Guo, Y., Li, H., & Du, C. (2022). Warming lake surface water temperatures in Lake Qiandaohu, China: Spatiotemporal variations, influencing factors and implications for the thermal structure. Frontiers in Environmental Science, 10, 995862.",2,"OR, MP"
"Lieberherr, G., & Wunderle, S. (2018). Lake surface water temperature derived from 35 years of AVHRR sensor data for European lakes. Remote sensing, 10(7), 990.",2,"WW, MP"
"Luo, Y., Zhang, Y., Yang, K., Yu, Z., & Zhu, Y. (2019). Spatiotemporal variations in Dianchi lakes surface water temperature from 2001 to 2017 under the influence of climate warming. Ieee Access, 7, 115378-115387.",2,"OR, MP"
"Peng, Z., Yang, K., Shang, C., Duan, H., Tang, L., Zhang, Y., ... & Luo, Y. (2022). Attribution analysis of lake surface water temperature changingtaking Chinas six main lakes as example. Ecological Indicators, 145, 109651.",2,"OR, MP"
"Pilla, R. M., Williamson, C. E., Zhang, J., Smyth, R. L., Lenters, J. D., Brentrup, J. A., ... & Fisher, T. J. (2018). Browning?related decreases in water transparency lead to long?term increases in surface water temperature and thermal stratification in two small lakes. Journal of Geophysical Research: Biogeosciences, 123(5), 1651-1665.",2,"WW, MP"
"Shi, Y., Huang, A., Wu, Y., Lazhu, & Wen, L. (2024). Trends of Summer Lake Surface Water Temperature on the Tibetan Plateau and Their Response to Climate Change. Earth and Space Science, 11(12), e2024EA003910.",4,"WW, MS, OR, MP"
"Song, S., Yang, J., Liu, L., Bai, G., Zhou, J., & McKay, D. (2024). Lake surface water temperature in China from 2001 to 2021 based on GEE and HANTS. Ecological Informatics, 84, 102903.",2,"WW, MP"
"Tong, Y., Feng, L., Wang, X., Pi, X., Xu, W., & Woolway, R. I. (2023). Global lakes are warming slower than surface air temperature due to accelerated evaporation. Nature Water, 1(11), 929-940.",2,"WW, MP"
"Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.",3,"WW, MS, MP"
"Woolway, R. I., Weyhenmeyer, G. A., Schmid, M., Dokulil, M. T., de Eyto, E., Maberly, S. C., ... & Merchant, C. J. (2019). Substantial increase in minimum lake surface temperatures under climate change. Climatic Change, 155, 81-94.",3,"WW, OR, MP"
"Yang, K., Yu, Z., & Luo, Y. (2020). Analysis on driving factors of lake surface water temperature for major lakes in Yunnan-Guizhou Plateau. Water Research, 184, 116018.",3,"MS, OR, MP"
"Yang, K., Zhang, Y., Luo, Y., & Shang, C. (2021). Precipitation events impact on urban lake surface water temperature under the perspective of macroscopic scale. Environmental Science and Pollution Research, 28, 16767-16780.",2,"OR, MP"
"Kim, H. I., Kim, D., Salamattalab, M. M., Mahdian, M., Bateni, S. M., & Noori, R. (2024). Machine learning-based modeling of surface water temperature dynamics in arctic lakes. Environmental Science and Pollution Research, 31(49), 59642-59655.",2,"WW, MP"
"Ptak, M., Sojka, M., Szyga-Pluta, K., Baloch, M. Y. J., & Amnuaylojaroen, T. (2025). Is Everything Lost? Recreating the Surface Water Temperature of Unmonitored Lakes in Poland [Article]. Resources, 14(4), Article 67. https://doi.org/10.3390/resources14040067 ",3,"MA, MP, CB"
"Virdis, S. G. P., Kongwarakom, S., Juneng, L., Padedda, B. M., & Shrestha, S. (2024). Historical and projected response of Southeast Asian lakes surface water temperature to warming climate. Environmental Research, 247, 118412.",2,"MA, MP"
"Wang, R., Dong, W., Sun, J., Sojka, M., Ptak, M., & Zhu, S. (2025). Long-Term Trends of Lake Surface Water Temperatures in Lowland Polish Temperate Lakes [Article]. Atmosphere, 16(2), Article 120. https://doi.org/10.3390/atmos16020120 ",2,"WW, MP"
"Wang, X., Shi, K., Qin, B., Zhang, Y., & Woolway, R. I. (2024). Disproportionate impact of atmospheric heat events on lake surface water temperature increases. Nature Climate Change, 14(11), 1172-1177.",2,"OR, MP"
"Zhao, S., Sun, H., Cheng, J., & Zhang, G. (2025). Water Surface Temperature Dynamics of the Three Largest Ice-Contact Lakes in the Patagonia Icefield over the Last 20 Years [Article]. Water (Switzerland), 17(3), Article 385. https://doi.org/10.3390/w17030385 ",2,"MS, MP"
