"citation","n_reviewers","all_reviewers"
"Yang, K., Yu, Z., & Luo, Y. (2020). Analysis on driving factors of lake surface water temperature for major lakes in Yunnan-Guizhou Plateau. Water Research, 184, 116018.",3,"MS, OR, MP"
"Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.",3,"WW, MS, MP"
"Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.",3,"WW, MS, MP"
"Liu, G., Ou, W., Zhang, Y., Wu, T., Zhu, G., Shi, K., & Qin, B. (2015). Validating and mapping surface water temperatures in Lake Taihu: Results from MODIS land surface temperature products. IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, 8(3), 1230-1244.",2,"WW, MS"
"Shi, Y., Huang, A., Wu, Y., Lazhu, & Wen, L. (2024). Trends of Summer Lake Surface Water Temperature on the Tibetan Plateau and Their Response to Climate Change. Earth and Space Science, 11(12), e2024EA003910.",4,"WW, MS, OR, MP"
"Xie, C., Zhang, X., Zhuang, L., Zhu, R., & Guo, J. (2022). Analysis of surface temperature variation of lakes in China using MODIS land surface temperature data. Scientific Reports, 12(1), 2415.",3,"WW, MS, OR"
"Yu, Z., Yang, K., Luo, Y., Shang, C., & Zhu, Y. (2020). Lake surface water temperature prediction and changing characteristics analysis-A case study of 11 natural lakes in Yunnan-Guizhou Plateau. Journal of Cleaner Production, 276, 122689.",2,"MS, OR"
"Zhang, X., Wang, K., Frassl, M. A., & Boehrer, B. (2020). Reconstructing six decades of surface temperatures at a shallow lake. Water, 12(2), 405.",2,"WW, MS"
"Zhao, S., Sun, H., Cheng, J., & Zhang, G. (2025). Water Surface Temperature Dynamics of the Three Largest Ice-Contact Lakes in the Patagonia Icefield over the Last 20 Years [Article]. Water (Switzerland), 17(3), Article 385. https://doi.org/10.3390/w17030385 ",2,"MS, MP"
"Zhao, Y., Yang, K., Luo, Y., & Yu, Z. (2022). Spatialtemporal characteristics of surface thermal environment and its effect on Lake surface water temperature in Dianchi Lake basin. Frontiers in Ecology and Evolution, 10. https://doi.org/10.3389/fevo.2022.984692",2,"MS, OR"
