citation,reviewer.1,reviewer.2
"Zhang, G., Yao, T., Xie, H., Qin, J., Ye, Q., Dai, Y., & Guo, R. (2014). Estimating surface temperature changes of lakes in the Tibetan Plateau using MODIS LST data. Journal of Geophysical Research: Atmospheres, 119(14), 8552-8567.",WW,CB
"Song, K., Wang, M., Du, J., Yuan, Y., Ma, J., Wang, M., & Mu, G. (2016). Spatiotemporal variations of lake surface temperature across the Tibetan Plateau using MODIS LST product. Remote Sensing, 8(10), 854.",WW,MP
"Crosman, E., Vazquez-Cuervo, J., & Chin, T. M. (2017). Evaluation of the multi-scale ultra-high resolution (MUR) analysis of lake surface temperature. Remote Sensing, 9(7), 723.",WW,OR
"Fink, G., Schmid, M., Wahl, B., Wolf, T., & Wüest, A. (2014). Heat flux modifications related to climate?induced warming of large European lakes. Water Resources Research, 50(3), 2072-2085.",WW,MS
"Qiu, Y., Chen, J., & Chen, D. (2025). Changes in lake surface temperature on the Tibetan Plateau from 2000 to 2022 and their driving factors. Science China Earth Sciences, 1-15.",WW,MA
"Aranda, A. C., Rivera-Ruiz, D., Rodríguez-López, L., Pedreros, P., Arumí-Ribera, J. L., Morales-Salinas, L., ... & Urrutia, R. (2021). Evidence of climate change based on lake surface temperature trends in south central Chile. Remote Sensing, 13(22), 4535.",WW,BM
"Su, D., Hu, X., Wen, L., Lyu, S., Gao, X., Zhao, L., ... & Kirillin, G. (2019). Numerical study on the response of the largest lake in China to climate change. Hydrology and Earth System Sciences, 23(4), 2093-2109.",WW,CB
"Woolway, R. I., Merchant, C. J., Van Den Hoek, J., Azorin?Molina, C., Nõges, P., Laas, A., ... & Jones, I. D. (2019). Northern hemisphere atmospheric stilling accelerates lake thermal responses to a warming world. Geophysical Research Letters, 46(21), 11983-11992.",WW,MP
"Attiah, G., Pour, H. K., & Scott, K. A. (2023). Four decades of lake surface temperature in the Northwest Territories, Canada, using a lake-specific satellite-derived dataset. Journal of Hydrology: Regional Studies, 50, 101571.",MA,WW
"De Santis, D., Del Frate, F., & Schiavon, G. (2021). Analysis of climate change effects on surface temperature in central-Italy lakes using satellite data time-series. Remote Sensing, 14(1), 117.",MA,OR
